Contact	Overhead
56500	588.5344262295082
9400	203.51181102362204
35000	504.67727272727274
13500	264.0469798657718
39100	515.6307053941908
17600	316.8682634730539
43200	530.3667953667954
21700	368.2651933701657
47300	556.5350553505535
200	0.0
25800	418.0520833333333
51400	573.9578947368421
4300	133.91780821917808
29900	467.05445544554453
55500	589.6454849498327
8400	187.75833333333333
34000	496.82027649769583
12500	245.52739726027397
38100	512.5381355932203
16600	307.51552795031057
42200	521.692607003891
20700	354.463687150838
46300	554.1541353383459
24800	410.9144385026738
50400	566.6395759717315
3300	95.88059701492537
28900	454.57
54500	589.4183673469388
7400	174.53153153153153
33000	483.8240740740741
58600	582.359375
11500	234.0863309352518
37100	503.3162393162393
15600	292.8987341772152
41200	521.3705179282869
19700	342.8
45300	545.594696969697
23800	395.76344086021504
49400	569.9021739130435
2300	101.6
27900	439.48743718592965
53500	583.0616438356165
6400	156.67961165048544
32000	484.2200956937799
57600	584.5686900958466
10500	221.40151515151516
36100	509.00444444444446
14600	282.19736842105266
40200	521.2
18700	333.25882352941176
44300	533.7007575757576
22800	386.0274725274725
48400	565.3992673992674
1300	91.45
26900	430.22564102564104
52500	577.3944636678201
5400	143.3846153846154
31000	477.5219512195122
56600	589.5639344262295
9500	204.484375
35100	506.08181818181816
13600	266.16107382550337
39200	514.7479338842975
17700	318.7245508982036
43300	527.471264367816
21800	370.48618784530385
47400	557.9815498154982
300	0.0
25900	417.90673575129534
51500	575.0315789473684
4400	135.94594594594594
30000	468.7178217821782
55600	586.843853820598
8500	186.390243902439
34100	498.4009216589862
12600	246.2925170068027
38200	511.7932489451477
16700	303.6890243902439
42300	523.1906614785992
20800	354.00555555555553
46400	555.327067669173
24900	412.5080213903743
50500	565.7922535211268
3400	100.08955223880596
29000	456.26
54600	588.2949152542373
7500	177.3063063063063
33100	483.0046082949309
58700	583.3375
11600	236.24460431654677
37200	504.6111111111111
15700	294.8544303797468
41300	522.5617529880478
19800	343.1306818181818
45400	544.8867924528302
23900	397.39247311827955
49500	570.9492753623189
2400	99.11627906976744
28000	441.3718592964824
53600	584.2123287671233
6500	159.94174757281553
32100	485.99043062200957
57700	585.4792332268371
10600	221.796992481203
36200	505.96916299559473
14700	284.125
40300	522.5387755102041
18800	335.2352941176471
44400	534.6969696969697
22900	386.0
48500	566.3406593406594
1400	97.0
27000	429.6530612244898
52600	576.5103448275862
5500	143.7741935483871
31100	476.77669902912623
56700	590.6950819672131
9600	207.0546875
35200	505.29411764705884
13700	268.3288590604027
39300	513.8230452674898
