Contact	DeliveryPercentage
56900	21.937321937321936
9800	52.892561983471076
35400	25.34246575342466
13900	43.988269794721404
39500	24.846625766871167
18000	37.69751693002257
43600	24.211502782931355
22100	32.971014492753625
47700	23.011844331641285
600	26.666666666666668
26200	29.69230769230769
51800	22.283033620015637
4700	70.43478260869566
30300	26.82602921646746
55900	21.972443799854968
8800	56.94444444444444
34400	25.586854460093893
12900	46.68769716088328
38500	24.81675392670157
17000	39.618138424821005
42600	24.383301707779886
21100	34.15559772296015
46700	23.09688581314879
25200	30.4
50800	22.66560255387071
3700	76.66666666666667
29300	27.609890109890113
54900	21.918819188191883
7800	59.68586387434554
33400	26.207729468599034
59000	22.100205902539464
11900	48.13559322033898
37500	25.350593311758363
16000	40.458015267175576
41600	24.610894941634243
20100	35.6
45700	23.43059239610964
24200	31.01160862354892
49800	22.664500406173843
2700	81.53846153846153
28300	28.3072546230441
53900	22.088655146506387
6800	64.45783132530121
32400	26.119402985074625
58000	22.067039106145252
10900	50.18587360594795
36500	25.72062084257206
15000	42.119565217391305
40600	24.50199203187251
19100	35.86497890295359
44700	23.891402714932127
23200	31.951640759930918
48800	22.866611433305717
1700	72.5
27300	28.994082840236686
52900	22.3159509202454
5800	70.71428571428572
31400	26.53846153846154
57000	21.890547263681594
9900	52.459016393442624
35500	25.25597269624573
14000	43.604651162790695
39600	24.79591836734694
18100	37.66816143497758
43700	24.14431082331175
22200	32.79279279279279
47800	22.972972972972975
700	27.77777777777778
26300	29.555895865237364
51900	22.404371584699454
4800	70.08547008547008
30400	26.75496688741722
56000	21.908893709327547
8900	57.077625570776256
34500	25.526932084309134
13000	46.25
38600	24.739039665970772
17100	39.33649289099526
42700	24.33712121212121
21200	33.9622641509434
46800	23.1433506044905
25300	30.303030303030305
50900	22.611464968152866
3800	76.08695652173914
29400	27.49658002735978
55000	21.85430463576159
7900	59.067357512953365
33500	26.144578313253014
12000	47.81144781144781
37600	25.268817204301076
16100	40.15151515151515
41700	24.660194174757283
20200	35.586481113320076
45800	23.389232127096204
24300	30.960264900662253
49900	22.690437601296594
2800	80.59701492537313
28400	28.22695035460993
54000	22.038980509745127
6900	64.88095238095238
32500	26.270136307311027
58100	22.17573221757322
11000	49.815498154981555
36600	25.88495575221239
15100	41.891891891891895
40700	24.528301886792452
19200	35.63941299790356
44800	23.848238482384822
23300	31.78694158075601
48900	22.8099173553719
1800	71.42857142857143
27400	28.865979381443296
53000	22.28177641653905
5900	70.4225352112676
31500	26.47058823529412
57100	21.98581560283688
10000	52.03252032520326
35600	25.312145289443816
14100	43.641618497109825
39700	24.720244150559513
18200	37.723214285714285
43800	24.261992619926197
22300	32.61648745519714
47900	22.93423271500843
800	40.0
26400	29.465648854961835
52000	22.369446609508962
4900	68.33333333333333
30500	26.649076517150394
56100	21.949458483754512
9000	56.30630630630631
34600	25.55425904317386
13100	45.962732919254655
38700	24.791666666666668
17200	39.15094339622642
42800	24.291115311909262
21300	33.83458646616541
46900	23.16968130921619
25400	30.158730158730158
51000	22.575516693163753
3900	74.73684210526315
29500	27.421555252387446
55100	21.895664952241
8000	59.183673469387756
33600	26.05042016806723
12100	48.16053511705686
37700	25.187566988210076
16200	39.949748743718594
41800	24.709302325581394
20300	35.37549407114625
45900	23.43612334801762
24400	30.807248764415156
50000	22.653721682847898
2900	79.71014492753623
28500	28.10734463276836
54100	21.98952879581152
7000	64.11764705882354
32600	26.296296296296294
58200	22.129436325678498
11100	49.63503649635037
36700	25.799338478500548
15200	41.8230563002681
40800	24.578790882061448
19300	35.699373695198325
44900	23.805229936880075
23400	31.67808219178082
49000	22.772277227722775
1900	75.55555555555556
27500	29.03225806451613
53100	22.230710466004584
6000	69.6551724137931
31600	26.369426751592357
57200	22.009907997169144
10100	51.40562248995983
35700	25.452488687782804
14200	43.39080459770115
39800	24.67005076142132
18300	37.6940133037694
43900	24.21731123388582
22400	32.5
48000	22.87636669470143
900	45.45454545454545
26500	29.52815829528158
52100	22.429906542056074
5000	69.67213114754098
30600	26.57894736842105
56200	21.91780821917808
9100	56.25
34700	25.611175785797442
13200	45.67901234567901
38800	24.81827622014538
17300	38.967136150234744
42900	24.245283018867923
21400	33.70786516853933
47000	23.10996563573883
25500	30.173775671406005
51100	22.53968253968254
4000	72.44897959183673
29600	27.346938775510203
55200	21.86353631694791
8100	58.58585858585859
33700	25.95693779904306
12200	48.17275747508305
37800	25.213675213675213
16300	40.0
41900	24.637681159420293
20400	35.23622047244094
46000	23.374340949033392
24500	30.706075533661743
50100	22.69789983844911
3000	81.94444444444444
28600	27.9887482419128
54200	21.956684092606423
7100	63.95348837209303
32700	26.354679802955665
58300	22.098679638637943
11200	49.458483754512635
36800	25.742574257425744
15300	41.6
40900	24.604743083003953
19400	35.684647302904565
45000	23.741007194244602
23500	31.569965870307165
49100	22.73476112026359
2000	76.59574468085107
27600	28.905109489051096
53200	22.179878048780488
6100	68.24324324324324
31700	26.30241423125794
57300	22.04946996466431
10200	50.99601593625498
35800	25.395033860045146
14300	43.3048433048433
39900	24.595141700404856
18400	37.362637362637365
44000	24.150596877869603
22500	32.38434163701068
48100	22.837951301427374
1000	68.0
26600	29.393939393939394
52200	22.472783825816485
5100	69.35483870967742
30700	26.474442988204455
56300	21.886249100071993
9200	55.947136563876654
34800	25.551684088269454
13300	45.39877300613497
38900	24.974093264248705
17400	39.018691588785046
43000	24.27093132643462
21500	33.5195530726257
47100	23.050556983718938

