Contact	DeliveryPercentage	OverheadRatio	AvgLatency	TotalForwards
18800	36.55913978494624	413.1470588235294	665.4052941223096	122.9247311827957
18900	36.324786324786324	415.5235294117647	665.4052941223096	122.82478632478633
19000	36.09341825902335	418.1294117647059	665.4052941223096	122.81104033970276
19100	35.86497890295359	420.38823529411764	665.4052941223096	122.70253164556962
19200	35.63941299790356	422.71176470588233	665.4052941223096	122.59329140461216
19300	35.699373695198325	422.6608187134503	669.4918128703306	122.77244258872652
19400	35.684647302904565	422.77906976744185	666.7674418654689	122.76141078838174
19500	35.4639175257732	425.77906976744185	666.7674418654689	122.90515463917525
19600	35.318275154004105	427.88953488372096	666.7674418654689	123.00616016427105
19700	35.787321063394685	422.46285714285716	683.4680000055188	123.03680981595092
19800	35.77235772357724	422.6818181818182	682.2562500056885	123.10365853658537
19900	35.82995951417004	422.6949152542373	681.9740113052922	123.29757085020243
20000	35.61368209255533	425.2768361581921	681.9740113052922	123.33601609657947
20100	35.6	425.46629213483146	681.9634831520953	123.362
20200	35.586481113320076	425.55307262569835	683.0167597827333	123.33200795228628
20300	35.37549407114625	427.75977653631287	683.0167597827333	123.21343873517786
20400	35.23622047244094	429.75977653631287	683.0167597827333	123.2755905511811
20500	35.0293542074364	432.3072625698324	683.0167597827333	123.293542074364
20600	34.89278752436647	434.5139664804469	683.0167597827333	123.42690058479532
20700	34.689922480620154	436.7150837988827	683.0167597827333	123.31007751937985
20800	34.68208092485549	436.23333333333335	692.2638888952632	123.1233140655106
20900	34.48275862068966	438.7944444444444	692.2638888952632	123.14176245210729
21000	34.35114503816794	440.6722222222222	692.2638888952632	123.17175572519083
21100	34.15559772296015	442.99444444444447	692.2638888952632	123.11385199240986
21200	33.9622641509434	445.27222222222224	692.2638888952632	123.03396226415094
21300	33.83458646616541	447.47777777777776	692.2638888952632	123.1842105263158
21400	33.70786516853933	449.89444444444445	692.2638888952632	123.37827715355806
21500	33.5195530726257	452.0833333333333	692.2638888952632	123.2756052141527
21600	33.33333333333333	454.30555555555554	692.2638888952632	123.17222222222222
21700	33.39483394833948	454.0220994475138	699.3143646474481	123.31549815498155
21800	33.211009174311926	456.68508287292815	699.3143646474481	123.3743119266055
21900	33.02919708029197	458.98342541436466	699.3143646474481	123.30656934306569
22000	33.09090909090909	458.8626373626374	701.8038461606022	123.52
22100	32.971014492753625	461.03846153846155	701.8038461606022	123.65942028985508
22200	32.79279279279279	463.45054945054943	701.8038461606022	123.65225225225225
22300	32.61648745519714	465.83516483516485	701.8038461606022	123.60931899641577
22400	32.5	467.85714285714283	701.8038461606022	123.68928571428572
22500	32.38434163701068	469.75824175824175	701.8038461606022	123.72064056939502
22600	32.326820603907635	471.46153846153845	701.8038461606022	123.93428063943162
22700	32.21238938053098	473.72527472527474	701.8038461606022	124.09734513274336
22800	32.04225352112676	475.95054945054943	701.8038461606022	124.01232394366197
22900	32.04903677758319	475.8306010928962	701.059562848445	124.02977232924694
23000	32.11169284467714	475.2880434782609	700.3826087027143	124.1239092495637
23100	32.11805555555556	475.0054054054054	700.3200000072006	124.07291666666667
23200	31.951640759930918	477.3891891891892	700.3200000072006	124.06044905008636
23300	31.78694158075601	479.75135135135133	700.3200000072006	124.02920962199313
23400	31.67808219178082	481.8324324324324	700.3200000072006	124.12842465753425
23500	31.569965870307165	483.8	700.3200000072006	124.20819112627986
23600	31.40916808149406	486.07567567567565	700.3200000072006	124.13921901528013
23700	31.302876480541453	488.3783783783784	700.3200000072006	124.31302876480541
23800	31.313131313131315	487.89247311827955	696.6290322653655	124.23905723905725
23900	31.20805369127517	489.89784946236557	696.6290322653655	124.33053691275168
24000	31.270903010033447	489.27272727272725	693.5401069592613	124.41806020066889
24100	31.166666666666664	491.41711229946526	693.5401069592613	124.54333333333334
24200	31.01160862354892	493.75401069518716	693.5401069592613	124.5290215588723
